Weapon Type,Weapon ID,Purchase Timestamp,Usage Hours,Performance Metrics,Maintenance Logs,Number of Failures,Parts with Issues,Area,Battalion,Temperature,Weather Conditions
Type A,G-353,2019-02-17,1848,89.85,24,7,Brakes,Urban,West Battalion,37,Hot
Type C,G-708,2020-08-05,7954,75.88,36,2,Brakes,Urban,West Battalion,38,Hot
Type A,G-268,2023-08-31,7601,88.78,7,3,None,Urban,South Battalion,32,Hot
Type B,G-709,2020-12-31,8539,69.03,6,7,Sensors,Urban,East Battalion,30,Rainy
Type A,G-818,2019-11-20,6870,77.77,3,4,Radar,Semi-Urban,West Battalion,38,Dry
Type D,G-860,2022-06-10,8970,94.74,20,4,None,Semi-Urban,West Battalion,32,Humid
Type E,G-628,2020-01-16,7897,95.79,49,2,None,Semi-Urban,West Battalion,30,Humid
Type E,G-140,2021-08-23,9977,69.75,45,8,None,Rural,North-East Battalion,27,Rainy
Type D,G-255,2017-07-06,1874,71.95,11,2,Gun System,Rural,South Battalion,30,Humid
Type B,G-782,2020-09-23,5344,92.41,23,3,Brakes,Urban,North Battalion,33,Sunny
Type A,G-940,2020-02-14,8332,68.59,16,1,None,Semi-Urban,West Battalion,39,Dry
Type D,G-200,2023-10-15,5130,60.17,27,4,Engine,Urban,West Battalion,34,Hot
Type E,G-568,2021-02-01,5601,79.56,32,0,Transmission,Rural,North Battalion,29,Cool
Type D,G-724,2025-01-10,8446,99.92,49,2,None,Semi-Urban,West Battalion,30,Humid
Type D,G-708,2018-01-02,2509,85.35,28,3,None,Semi-Urban,West Battalion,40,Dry
Type B,G-690,2018-04-05,8428,88.8,50,2,None,Rural,South Battalion,30,Humid
Type D,G-650,2022-10-17,6318,75.22,25,3,None,Semi-Urban,West Battalion,36,Dry
Type E,G-580,2017-07-20,6166,76.1,4,0,Wiring,Rural,East Battalion,32,Cloudy
Type B,G-458,2018-05-12,5298,90.52,7,2,Brakes,Rural,South Battalion,31,Humid
Type D,G-105,2024-06-09,7911,94.67,38,4,None,Semi-Urban,West Battalion,32,Humid
Type C,G-171,2024-07-03,1472,83.43,11,6,Armor Plating,Rural,East Battalion,31,Cloudy
Type C,G-705,2015-10-25,3034,83.46,32,5,None,Urban,West Battalion,38,Hot
Type B,G-437,2016-12-09,261,79.59,17,6,None,Rural,East Battalion,31,Cloudy
Type E,G-195,2015-03-05,2088,84.8,30,3,Wiring,Urban,South Battalion,34,Hot
Type B,G-592,2024-02-10,8515,89.75,40,2,Navigation System,Rural,South Battalion,33,Humid
Type D,G-438,2018-07-01,3566,90.96,41,0,None,Urban,East Battalion,32,Rainy
Type E,G-187,2018-07-23,5000,65.52,39,5,Brakes,Urban,West Battalion,36,Hot
Type A,G-934,2015-12-06,5376,89.87,47,5,Armor Plating,Urban,West Battalion,36,Hot
Type D,G-281,2021-04-01,9916,96.33,5,0,None,Urban,South Battalion,33,Hot
Type B,G-230,2019-05-09,6187,70.84,15,5,None,Rural,East Battalion,35,Cloudy
Type D,G-334,2018-08-16,6743,95.06,37,4,None,Semi-Urban,West Battalion,32,Humid
Type B,G-645,2021-03-13,2141,86.88,2,0,None,Rural,North Battalion,28,Cool
Type A,G-531,2020-07-12,2999,73.36,48,10,None,Urban,West Battalion,34,Hot
Type E,G-233,2020-11-30,7776,64.04,46,3,Navigation System,Urban,East Battalion,29,Rainy
Type E,G-454,2022-09-27,1800,60.65,12,1,Sensors,Rural,North Battalion,28,Cool
Type E,G-155,2020-10-21,3797,98.54,29,5,None,Rural,North-East Battalion,25,Rainy
Type B,G-478,2024-08-28,3332,89.07,12,6,Transmission,Rural,North-East Battalion,29,Rainy
Type E,G-745,2021-03-02,4703,96.02,21,3,None,Urban,South Battalion,32,Hot
Type A,G-985,2022-07-31,7492,88.26,46,8,None,Urban,North Battalion,34,Sunny
Type A,G-420,2024-12-30,537,72.02,49,2,None,Rural,North-East Battalion,28,Rainy
Type C,G-551,2015-05-29,1892,97.26,3,5,Gun System,Urban,South Battalion,32,Hot
Type E,G-333,2019-01-16,5861,77.88,40,6,None,Urban,West Battalion,36,Hot
Type E,G-688,2015-10-11,2379,63.26,17,2,Radar,Semi-Urban,West Battalion,30,Humid
Type C,G-564,2020-04-29,7310,70.68,37,6,None,Urban,East Battalion,30,Rainy
Type D,G-945,2019-08-08,4131,67.22,28,1,None,Urban,West Battalion,35,Hot
Type B,G-640,2021-08-11,7186,70.44,19,4,Engine,Semi-Urban,West Battalion,38,Dry
Type C,G-469,2018-12-18,5353,63.12,41,8,None,Semi-Urban,West Battalion,34,Humid
Type E,G-286,2021-10-06,430,72.85,44,5,None,Urban,East Battalion,31,Rainy
Type A,G-295,2018-05-19,3306,74.27,5,3,Wiring,Rural,North Battalion,27,Cool
Type E,G-483,2016-03-06,983,70.04,6,4,None,Urban,South Battalion,34,Hot
Type B,G-415,2024-10-18,1527,78.16,25,9,Engine,Semi-Urban,West Battalion,39,Dry
Type A,G-142,2024-07-11,5073,60.82,45,9,None,Urban,North Battalion,35,Sunny
Type C,G-832,2022-05-24,1228,93.44,31,4,Armor Plating,Urban,North Battalion,36,Sunny
Type B,G-702,2019-09-02,5506,77.29,37,7,None,Urban,East Battalion,29,Rainy
Type C,G-231,2022-12-02,1107,65.64,43,6,None,Rural,East Battalion,32,Cloudy
Type C,G-185,2021-09-22,8162,83.06,0,3,None,Semi-Urban,West Battalion,31,Humid
Type C,G-649,2022-09-30,5278,79.1,17,4,Radar,Urban,North Battalion,34,Sunny
Type D,G-307,2016-05-07,3938,64.57,22,1,Brakes,Urban,East Battalion,29,Rainy
Type E,G-721,2017-10-29,508,93.51,6,4,None,Semi-Urban,West Battalion,33,Humid
Type C,G-563,2016-06-20,1653,62.67,6,3,None,Rural,North-East Battalion,25,Rainy
Type C,G-117,2018-05-07,8450,64.9,35,4,Transmission,Rural,North Battalion,28,Cool
Type B,G-717,2025-02-06,8875,94.45,11,4,None,Semi-Urban,West Battalion,30,Humid
Type B,G-849,2020-11-15,3795,96.26,47,3,Sensors,Urban,North Battalion,34,Sunny
Type D,G-796,2019-04-25,747,94.42,27,7,None,Urban,West Battalion,37,Hot
Type E,G-727,2020-09-28,3101,66.85,30,5,None,Urban,South Battalion,35,Hot
Type D,G-511,2016-03-10,1746,90.67,42,2,None,Urban,East Battalion,30,Rainy
Type B,G-170,2016-05-24,960,98.19,46,9,None,Semi-Urban,West Battalion,39,Dry
Type C,G-949,2021-06-21,616,74.74,1,3,None,Rural,North Battalion,28,Cool
Type A,G-202,2016-05-07,8590,74.25,4,2,None,Rural,South Battalion,32,Humid
Type E,G-377,2016-05-14,9978,94.99,42,2,Armor Plating,Urban,North Battalion,37,Sunny
Type D,G-186,2022-07-25,4182,63.74,15,7,Armor Plating,Semi-Urban,West Battalion,33,Humid
Type E,G-926,2020-04-07,6600,95.91,44,2,None,Semi-Urban,West Battalion,39,Dry
Type E,G-504,2017-12-05,6188,78.12,40,4,None,Urban,North Battalion,37,Sunny
Type C,G-478,2017-03-03,2816,74.16,44,3,None,Rural,North Battalion,30,Cool
Type E,G-243,2016-03-17,1975,94.8,17,2,None,Rural,North Battalion,28,Cool
Type B,G-257,2015-07-05,6684,94.74,14,9,Wiring,Urban,West Battalion,34,Hot
Type A,G-908,2020-09-05,4245,60.39,2,1,Transmission,Urban,South Battalion,32,Hot
Type E,G-423,2018-03-22,8718,92.63,20,4,Navigation System,Rural,North-East Battalion,28,Rainy
Type E,G-334,2022-07-22,9934,67.92,1,5,Brakes,Rural,East Battalion,34,Cloudy
Type D,G-359,2015-11-25,1007,83.29,14,4,None,Urban,East Battalion,30,Rainy
Type E,G-545,2024-09-29,702,80.57,0,3,Sensors,Semi-Urban,West Battalion,39,Dry
Type A,G-341,2015-03-19,9143,81.35,41,8,None,Urban,South Battalion,35,Hot
Type C,G-599,2021-08-27,1810,92.34,33,3,Navigation System,Semi-Urban,West Battalion,30,Humid
Type A,G-307,2024-01-06,7218,80.84,13,2,None,Urban,West Battalion,38,Hot
Type E,G-465,2018-01-02,4644,65.67,47,2,None,Rural,South Battalion,31,Humid
Type E,G-568,2015-05-30,2258,77.55,0,5,None,Semi-Urban,West Battalion,30,Humid
Type B,G-895,2020-02-23,2527,89.42,4,6,None,Semi-Urban,West Battalion,34,Humid
Type B,G-887,2023-10-07,2229,84.89,13,4,Armor Plating,Rural,East Battalion,33,Cloudy
Type A,G-676,2016-11-14,1623,83.12,41,3,None,Semi-Urban,West Battalion,32,Humid
Type D,G-818,2018-03-11,4567,95.93,18,8,Engine,Rural,South Battalion,33,Humid
Type C,G-177,2020-06-15,6455,81.19,21,1,None,Urban,South Battalion,34,Hot
Type D,G-363,2018-09-02,4251,80.17,2,3,None,Urban,West Battalion,36,Hot
Type C,G-284,2022-06-19,5803,84.93,32,0,Brakes,Rural,North Battalion,30,Cool
Type E,G-438,2023-02-05,8371,94.19,35,9,Gun System,Urban,East Battalion,31,Rainy
Type C,G-641,2018-01-20,3421,77.43,48,5,None,Rural,East Battalion,34,Cloudy
Type B,G-634,2020-07-17,6932,85.74,31,3,Engine,Semi-Urban,West Battalion,33,Humid
Type D,G-934,2023-12-31,8498,73.47,16,3,Navigation System,Urban,North Battalion,33,Sunny
Type E,G-205,2016-02-06,4339,65.93,14,1,None,Urban,West Battalion,35,Hot
Type C,G-564,2017-03-26,7153,68.16,16,2,None,Semi-Urban,West Battalion,39,Dry
Type B,G-123,2024-07-08,9616,81.67,6,7,None,Urban,North Battalion,37,Sunny
Type D,G-709,2016-06-23,2358,92.28,22,9,Gun System,Rural,North-East Battalion,25,Rainy
Type B,G-327,2018-02-07,9855,86.51,43,9,Engine,Urban,North Battalion,34,Sunny
Type A,G-982,2021-03-25,1714,90.61,27,1,Transmission,Rural,South Battalion,31,Humid
Type D,G-424,2023-05-05,7373,83.07,48,5,None,Urban,South Battalion,32,Hot
Type A,G-987,2015-08-19,6080,71.74,35,1,Engine,Urban,East Battalion,28,Rainy
Type B,G-322,2022-07-01,7764,68.82,14,0,None,Rural,North Battalion,29,Cool
Type D,G-939,2016-01-08,155,60.53,17,4,Gun System,Urban,North Battalion,33,Sunny
Type A,G-395,2015-07-31,2412,83.37,0,1,None,Rural,North Battalion,27,Cool
Type C,G-661,2023-08-20,4335,95.85,9,1,Radar,Urban,South Battalion,35,Hot
Type A,G-468,2020-01-03,1645,71.34,31,8,Armor Plating,Rural,South Battalion,29,Humid
Type E,G-759,2021-09-15,8782,94.93,46,10,None,Rural,North Battalion,27,Cool
Type B,G-909,2018-11-30,9700,91.08,14,2,Sensors,Rural,East Battalion,33,Cloudy
Type A,G-505,2020-02-17,8770,98.38,43,7,Brakes,Rural,South Battalion,32,Humid
Type D,G-419,2015-07-20,4706,97.53,6,7,None,Semi-Urban,West Battalion,33,Humid
Type B,G-227,2020-05-20,4228,98.82,48,3,None,Urban,South Battalion,36,Hot
Type A,G-851,2017-02-03,921,74.03,49,2,Sensors,Rural,South Battalion,30,Humid
Type D,G-639,2023-03-26,7994,95.93,9,3,Radar,Urban,North Battalion,37,Sunny
Type E,G-582,2016-12-24,698,64.91,5,2,Transmission,Semi-Urban,West Battalion,40,Dry
Type B,G-182,2023-05-16,9625,72.51,3,4,None,Urban,East Battalion,28,Rainy
Type B,G-445,2015-06-21,1128,95.74,13,2,None,Rural,North Battalion,28,Cool
Type E,G-285,2016-06-04,1075,88.02,19,1,None,Urban,East Battalion,30,Rainy
Type B,G-513,2024-07-09,131,95.29,42,3,Transmission,Rural,North Battalion,26,Cool
Type B,G-295,2021-05-07,8345,94.49,12,3,None,Semi-Urban,West Battalion,40,Dry
Type D,G-175,2019-06-21,5755,76.67,35,4,Gun System,Urban,South Battalion,36,Hot
Type A,G-421,2016-07-16,4525,60.08,4,1,Gun System,Semi-Urban,West Battalion,36,Dry
Type B,G-719,2021-04-03,5357,84.21,26,3,None,Rural,North-East Battalion,29,Rainy
Type C,G-568,2017-11-09,2622,87.95,18,2,None,Rural,East Battalion,31,Cloudy
Type D,G-870,2017-04-19,3843,83.88,16,8,None,Urban,East Battalion,29,Rainy
Type D,G-739,2019-12-17,2480,79.75,21,1,None,Rural,South Battalion,33,Humid
Type D,G-932,2015-04-09,8791,92.84,40,2,Brakes,Urban,East Battalion,32,Rainy
Type B,G-560,2015-10-29,7378,84.03,25,3,None,Urban,South Battalion,35,Hot
Type C,G-885,2019-02-13,8381,74.91,47,2,Navigation System,Urban,North Battalion,37,Sunny
Type E,G-325,2024-11-18,10000,88.18,46,6,None,Rural,East Battalion,34,Cloudy
Type A,G-921,2016-04-24,8830,84.44,46,6,None,Urban,West Battalion,34,Hot
Type E,G-864,2017-01-26,8949,72.81,5,2,None,Urban,East Battalion,31,Rainy
Type E,G-325,2023-04-28,2919,94.33,27,4,Navigation System,Rural,North-East Battalion,25,Rainy
Type C,G-740,2022-04-06,4126,97.01,21,5,Navigation System,Rural,South Battalion,33,Humid
Type E,G-584,2021-03-31,2602,73.07,6,10,Wiring,Rural,South Battalion,32,Humid
Type C,G-403,2022-05-30,505,76.27,38,6,Sensors,Rural,North Battalion,27,Cool
Type D,G-539,2017-12-14,9742,68.41,40,8,None,Urban,East Battalion,29,Rainy
Type A,G-676,2023-02-20,8675,95.69,10,3,None,Urban,North Battalion,37,Sunny
Type A,G-572,2016-11-02,9437,61.07,7,7,None,Rural,North-East Battalion,26,Rainy
Type C,G-306,2021-09-05,3385,78.07,38,0,Radar,Semi-Urban,West Battalion,38,Dry
Type D,G-967,2024-09-01,6525,78.46,40,7,Engine,Rural,North Battalion,27,Cool
Type B,G-640,2024-07-03,5666,83.1,10,3,None,Rural,South Battalion,33,Humid
Type E,G-910,2017-04-07,1624,95.87,23,4,Gun System,Rural,North Battalion,30,Cool
Type C,G-186,2020-06-20,228,62.07,13,8,None,Urban,North Battalion,35,Sunny
Type E,G-302,2016-08-01,1232,80.43,6,4,Radar,Urban,East Battalion,28,Rainy
Type B,G-167,2017-04-17,5735,69.1,16,2,Gun System,Urban,North Battalion,36,Sunny
Type B,G-506,2024-02-15,3511,96.95,31,6,None,Semi-Urban,West Battalion,33,Humid
Type A,G-224,2015-05-09,3570,89.75,1,3,None,Semi-Urban,West Battalion,36,Dry
Type D,G-286,2022-01-07,4864,81.02,4,2,None,Rural,South Battalion,33,Humid
Type D,G-578,2018-08-15,295,98.21,29,5,Brakes,Rural,North-East Battalion,25,Rainy
Type B,G-803,2024-03-03,4297,64.16,37,3,Armor Plating,Rural,East Battalion,34,Cloudy
Type A,G-626,2024-02-17,6489,64.1,44,4,None,Semi-Urban,West Battalion,38,Dry
Type D,G-310,2018-10-26,2494,66.04,45,1,None,Rural,North Battalion,27,Cool
Type D,G-718,2022-09-17,9366,74.67,3,6,Wiring,Rural,North-East Battalion,27,Rainy
Type C,G-897,2019-12-11,5591,83.85,48,3,Engine,Rural,North-East Battalion,25,Rainy
Type B,G-853,2021-07-05,9090,70.32,45,4,Sensors,Rural,North Battalion,28,Cool
Type E,G-131,2024-04-05,8824,92.69,7,3,Radar,Rural,South Battalion,29,Humid
Type C,G-452,2023-08-07,3150,85.7,37,7,Brakes,Rural,East Battalion,33,Cloudy
Type B,G-826,2016-11-10,3330,62.85,4,5,Navigation System,Urban,North Battalion,34,Sunny
Type E,G-351,2018-03-16,4019,68.99,27,2,None,Semi-Urban,West Battalion,36,Dry
Type D,G-764,2019-04-25,6383,77.95,20,3,None,Rural,East Battalion,31,Cloudy
Type A,G-558,2020-03-11,5337,82.04,13,5,Sensors,Urban,North Battalion,37,Sunny
Type A,G-107,2024-02-28,6705,94.76,11,2,Wiring,Rural,South Battalion,33,Humid
Type B,G-518,2022-01-11,2523,62.88,3,4,Armor Plating,Urban,East Battalion,32,Rainy
Type D,G-356,2020-09-20,8340,79.37,20,9,None,Urban,South Battalion,32,Hot
Type D,G-467,2018-01-26,5398,92.36,2,2,None,Urban,South Battalion,32,Hot
Type A,G-588,2019-06-14,8097,75.08,44,2,Navigation System,Urban,South Battalion,33,Hot
Type D,G-219,2021-01-25,3978,64.08,36,2,Brakes,Urban,East Battalion,32,Rainy
Type A,G-286,2022-09-15,7470,94.57,4,4,Navigation System,Urban,South Battalion,34,Hot
Type C,G-876,2022-01-21,4030,89.98,8,1,None,Semi-Urban,West Battalion,30,Humid
Type C,G-816,2023-02-28,5133,90.59,42,5,Navigation System,Rural,North-East Battalion,29,Rainy
Type E,G-182,2019-07-23,128,75.32,6,7,Gun System,Rural,North Battalion,27,Cool
Type C,G-923,2021-09-04,9512,64.79,23,6,None,Semi-Urban,West Battalion,38,Dry
Type B,G-736,2015-07-20,8984,87.42,16,4,None,Urban,East Battalion,30,Rainy
Type B,G-236,2024-01-27,9407,66.96,45,4,Gun System,Urban,North Battalion,33,Sunny
Type B,G-464,2020-07-24,1464,78.95,28,10,Navigation System,Urban,West Battalion,36,Hot
Type B,G-427,2020-08-12,4742,72.98,17,6,Armor Plating,Rural,North Battalion,27,Cool
Type C,G-767,2024-03-31,9741,67.1,8,0,Engine,Rural,South Battalion,30,Humid
Type D,G-527,2022-10-07,8741,63.79,49,6,Sensors,Semi-Urban,West Battalion,40,Dry
Type B,G-206,2022-08-10,3771,71.1,5,2,Navigation System,Rural,East Battalion,33,Cloudy
Type E,G-166,2018-10-04,8218,76.17,32,3,None,Urban,North Battalion,37,Sunny
Type D,G-374,2017-10-08,7030,75.31,1,1,None,Semi-Urban,West Battalion,34,Humid
Type A,G-375,2018-07-02,6633,91.82,12,7,Brakes,Rural,North-East Battalion,25,Rainy
Type E,G-678,2024-01-26,7239,95.97,42,4,None,Rural,North Battalion,27,Cool
Type C,G-696,2017-04-09,6392,94.36,24,4,Wiring,Urban,North Battalion,36,Sunny
Type A,G-565,2016-04-16,8814,98.58,7,2,None,Rural,East Battalion,32,Cloudy
Type E,G-361,2020-08-11,5286,82.05,30,3,Wiring,Semi-Urban,West Battalion,30,Humid
Type A,G-671,2019-06-24,8467,61.6,41,3,Navigation System,Rural,East Battalion,33,Cloudy
Type A,G-622,2018-06-30,6806,94.37,31,6,None,Urban,North Battalion,33,Sunny
Type A,G-379,2024-06-25,9193,81.76,19,4,Engine,Semi-Urban,West Battalion,39,Dry
Type A,G-984,2017-05-15,9863,84.18,6,4,None,Rural,North-East Battalion,26,Rainy
Type E,G-529,2019-01-15,4581,70.54,15,3,Radar,Urban,East Battalion,30,Rainy
Type E,G-530,2022-02-05,6185,90.89,27,5,Wiring,Semi-Urban,West Battalion,31,Humid
Type B,G-665,2019-06-21,7000,93.36,31,7,Engine,Rural,South Battalion,32,Humid
Type E,G-941,2022-12-14,701,81.65,15,4,None,Rural,North Battalion,26,Cool
Type E,G-744,2023-12-20,1103,72.84,24,2,Wiring,Semi-Urban,West Battalion,40,Dry
Type A,G-739,2021-06-15,687,78.04,40,6,Gun System,Rural,North-East Battalion,28,Rainy
Type B,G-326,2017-12-05,9023,99.86,30,2,Navigation System,Urban,North Battalion,33,Sunny
Type E,G-767,2024-01-21,3025,71.76,50,2,None,Urban,South Battalion,32,Hot
Type D,G-611,2015-10-25,6945,76.81,30,8,Engine,Rural,South Battalion,29,Humid
Type D,G-536,2019-05-13,2613,97.14,13,1,Wiring,Urban,North Battalion,36,Sunny
Type C,G-322,2024-11-20,8975,83.82,1,4,Armor Plating,Urban,West Battalion,35,Hot
Type E,G-222,2017-02-25,1425,76.57,17,7,None,Semi-Urban,West Battalion,32,Humid
Type A,G-866,2021-05-27,1393,93.13,27,5,None,Urban,North Battalion,33,Sunny
Type A,G-656,2023-07-21,8938,75.48,22,7,Armor Plating,Rural,East Battalion,35,Cloudy
Type B,G-806,2017-12-14,5448,97.6,17,6,None,Rural,North-East Battalion,26,Rainy
Type D,G-889,2019-01-26,2946,97.61,14,8,Brakes,Urban,East Battalion,29,Rainy
Type B,G-751,2019-01-27,7385,75.42,35,4,None,Rural,North-East Battalion,28,Rainy
Type A,G-244,2024-10-22,6793,60.87,27,4,None,Urban,West Battalion,35,Hot
Type B,G-700,2023-02-10,9799,72.46,10,6,Transmission,Urban,East Battalion,28,Rainy
Type B,G-800,2021-08-05,9351,60.42,27,2,Engine,Urban,West Battalion,38,Hot
Type D,G-230,2019-08-20,4117,98.02,10,1,Gun System,Rural,North-East Battalion,27,Rainy
Type E,G-807,2022-08-14,2279,78.4,21,6,None,Rural,North-East Battalion,26,Rainy
Type D,G-516,2024-06-05,8134,65.18,25,8,None,Semi-Urban,West Battalion,33,Humid
Type E,G-237,2017-02-15,4320,92.43,10,2,Wiring,Urban,West Battalion,34,Hot
Type B,G-222,2016-09-11,8746,70.47,10,0,Gun System,Urban,East Battalion,30,Rainy
Type B,G-763,2019-06-15,9438,71.66,18,3,Sensors,Rural,East Battalion,33,Cloudy
Type E,G-267,2017-05-05,2959,86.6,12,8,None,Urban,West Battalion,34,Hot
Type E,G-275,2019-05-25,931,98.94,35,6,Brakes,Rural,East Battalion,35,Cloudy
Type A,G-364,2016-11-11,7737,75.28,1,1,None,Semi-Urban,West Battalion,33,Humid
Type C,G-370,2022-07-02,8494,97.65,4,1,None,Rural,East Battalion,35,Cloudy
Type C,G-659,2015-12-11,799,86.82,20,2,None,Semi-Urban,West Battalion,40,Dry
Type D,G-308,2016-04-25,6944,99.31,35,2,None,Urban,East Battalion,32,Rainy
Type E,G-669,2024-07-23,7405,60.59,24,1,Transmission,Rural,East Battalion,34,Cloudy
Type D,G-454,2020-06-04,8092,83.01,10,6,Armor Plating,Rural,North Battalion,26,Cool
Type C,G-548,2022-01-16,9044,61.6,25,2,None,Rural,North-East Battalion,29,Rainy
Type B,G-208,2018-10-23,5940,92.76,17,5,Radar,Urban,North Battalion,33,Sunny
Type A,G-546,2019-03-19,4312,67.27,49,4,Radar,Urban,South Battalion,32,Hot
Type C,G-562,2019-08-17,4061,84.91,50,6,None,Semi-Urban,West Battalion,34,Humid
Type C,G-143,2017-07-30,1248,92.2,41,2,None,Semi-Urban,West Battalion,40,Dry
Type A,G-173,2018-07-26,4204,87.75,42,3,Gun System,Urban,North Battalion,36,Sunny
Type D,G-139,2016-02-19,7580,60.47,3,3,Engine,Rural,South Battalion,32,Humid
Type C,G-849,2024-02-04,6185,94.79,1,6,Sensors,Rural,South Battalion,32,Humid
Type E,G-744,2019-01-20,6669,81.97,25,0,None,Semi-Urban,West Battalion,36,Dry
Type E,G-406,2017-07-31,5429,66.77,11,4,None,Semi-Urban,West Battalion,31,Humid
Type E,G-823,2015-04-10,668,63.5,12,2,None,Rural,North Battalion,29,Cool
Type D,G-730,2020-12-12,8235,87.94,29,4,None,Rural,East Battalion,31,Cloudy
Type B,G-888,2025-02-11,1305,77.59,50,4,Transmission,Urban,East Battalion,28,Rainy
Type A,G-484,2016-08-15,5278,98.58,34,2,Wiring,Semi-Urban,West Battalion,36,Dry
Type D,G-201,2016-08-11,3866,76.65,30,8,None,Urban,East Battalion,30,Rainy
Type C,G-408,2021-09-01,1066,98.64,2,3,None,Rural,North-East Battalion,25,Rainy
Type E,G-959,2025-01-26,1878,86.45,29,5,None,Rural,North-East Battalion,27,Rainy
Type B,G-901,2021-01-08,3052,87.39,13,3,Transmission,Rural,North-East Battalion,29,Rainy
Type C,G-376,2019-03-20,3254,61.75,32,4,Wiring,Urban,North Battalion,37,Sunny
Type D,G-978,2016-08-16,2989,94.42,46,2,Radar,Urban,South Battalion,35,Hot
Type C,G-212,2015-08-21,8245,68.63,39,1,None,Rural,North Battalion,27,Cool
Type C,G-621,2018-08-31,3436,79.46,16,1,Radar,Rural,North Battalion,29,Cool
Type D,G-439,2019-07-09,9187,85.25,36,6,Armor Plating,Rural,East Battalion,35,Cloudy
Type C,G-548,2018-09-20,6277,87.81,41,6,None,Rural,South Battalion,31,Humid
Type C,G-108,2018-12-25,9114,90.62,32,4,None,Urban,West Battalion,35,Hot
Type A,G-886,2019-07-24,9284,73.88,30,9,Navigation System,Semi-Urban,West Battalion,40,Dry
Type E,G-600,2022-10-11,8281,67.47,5,4,None,Rural,East Battalion,33,Cloudy
Type B,G-307,2018-01-29,5440,88.38,21,4,Brakes,Semi-Urban,West Battalion,37,Dry
Type E,G-702,2024-04-19,3808,85.74,42,5,Transmission,Urban,North Battalion,37,Sunny
Type E,G-944,2022-03-16,1072,98.61,36,4,Gun System,Urban,South Battalion,35,Hot
Type D,G-128,2017-08-27,5358,69.95,27,4,Radar,Rural,North Battalion,27,Cool
Type D,G-780,2024-02-08,5521,90.1,30,5,Transmission,Urban,West Battalion,36,Hot
Type E,G-122,2016-08-21,8142,94.6,21,2,Navigation System,Urban,East Battalion,30,Rainy
Type C,G-501,2018-02-10,3334,67.41,40,2,Armor Plating,Rural,South Battalion,30,Humid
Type B,G-328,2022-01-29,3991,67.38,17,2,Navigation System,Semi-Urban,West Battalion,38,Dry
Type A,G-507,2021-04-10,5294,73.68,31,2,None,Rural,East Battalion,33,Cloudy
Type A,G-656,2023-10-15,4914,77.89,42,2,None,Urban,South Battalion,36,Hot
Type C,G-680,2018-04-14,4923,79.61,15,4,None,Rural,East Battalion,31,Cloudy
Type E,G-956,2016-11-09,8698,75.33,10,6,None,Rural,East Battalion,33,Cloudy
Type E,G-828,2016-11-21,7931,82.43,37,2,Wiring,Semi-Urban,West Battalion,30,Humid
Type D,G-781,2016-05-08,3693,74.0,11,9,Wiring,Urban,North Battalion,36,Sunny
Type D,G-735,2016-09-27,3397,93.26,41,3,Transmission,Urban,West Battalion,35,Hot
Type B,G-771,2016-03-15,8572,85.22,3,3,Engine,Urban,South Battalion,36,Hot
Type D,G-303,2024-05-01,5596,81.12,29,6,Radar,Urban,North Battalion,33,Sunny
Type C,G-126,2023-10-21,3602,89.18,4,2,None,Rural,South Battalion,31,Humid
Type A,G-804,2019-05-17,633,61.75,17,3,None,Urban,East Battalion,29,Rainy
Type E,G-548,2023-10-06,8509,60.15,48,4,Gun System,Semi-Urban,West Battalion,30,Humid
Type D,G-777,2019-04-26,8651,84.04,8,5,None,Rural,South Battalion,29,Humid
Type D,G-199,2020-02-05,2941,60.43,14,5,None,Semi-Urban,West Battalion,36,Dry
Type C,G-372,2020-01-03,1398,91.62,50,10,None,Rural,South Battalion,32,Humid
Type E,G-176,2017-05-03,4068,73.76,28,3,Radar,Urban,North Battalion,33,Sunny
Type B,G-490,2020-11-25,8065,90.43,24,8,Engine,Semi-Urban,West Battalion,32,Humid
Type E,G-775,2015-07-02,7068,85.6,12,0,Transmission,Rural,North Battalion,30,Cool
Type D,G-451,2023-02-21,5717,75.18,8,1,None,Urban,South Battalion,34,Hot
Type B,G-206,2025-01-23,9539,97.64,34,3,None,Urban,West Battalion,38,Hot
Type C,G-801,2024-11-25,7790,63.28,49,4,None,Rural,South Battalion,31,Humid
Type C,G-578,2022-10-14,9998,85.41,31,7,None,Rural,North-East Battalion,28,Rainy
Type D,G-424,2020-09-13,8461,90.3,31,6,None,Semi-Urban,West Battalion,37,Dry
Type D,G-454,2022-05-08,9162,75.31,15,3,Gun System,Urban,East Battalion,31,Rainy
Type C,G-815,2020-02-02,1292,70.54,15,1,Wiring,Urban,South Battalion,36,Hot
Type D,G-694,2024-07-19,4144,82.82,2,4,None,Urban,East Battalion,30,Rainy
Type B,G-159,2015-11-07,5581,83.83,36,4,Transmission,Rural,North Battalion,30,Cool
Type E,G-265,2022-07-28,5132,66.88,32,5,Gun System,Semi-Urban,West Battalion,36,Dry
Type C,G-193,2017-01-23,3584,73.46,3,3,Sensors,Rural,East Battalion,32,Cloudy
Type C,G-725,2016-09-25,498,85.92,44,8,None,Urban,East Battalion,29,Rainy
Type C,G-120,2022-02-18,3043,69.05,8,2,Navigation System,Urban,North Battalion,34,Sunny
Type D,G-648,2020-10-04,4507,81.31,46,7,Radar,Rural,North-East Battalion,25,Rainy
