Aircraft Type,Aircraft ID,Purchase Timestamp,Usage Hours,Performance Metrics,Maintenance Logs,Number of Failures,Parts with Issues,State,Area,Battalion,Temperature,Weather
Type E,A-287,2019-07-30,9864,90.24,22,2,Gun System,Gujarat,North Zone,Charlie Battalion,39.4,Foggy
Type E,A-346,2017-10-31,1640,83.78,34,9,Transmission,Tamil Nadu,South Zone,Bravo Battalion,23.4,Sunny
Type A,A-180,2024-11-06,2029,96.65,34,3,,Delhi,Central Command,Alpha Battalion,29.0,Windy
Type D,A-778,2020-08-30,858,80.02,33,5,Sensors,Rajasthan,North Zone,Echo Force,38.7,Windy
Type E,A-667,2020-09-12,2623,98.08,12,6,,Assam,West Zone,Charlie Battalion,13.1,Windy
Type E,A-855,2021-02-09,9698,95.05,36,2,Transmission,Punjab,West Zone,Charlie Battalion,35.0,Windy
Type C,A-804,2019-09-18,1130,64.45,11,4,,Gujarat,East Zone,Echo Force,25.9,Cloudy
Type E,A-332,2017-02-20,6844,99.84,31,9,,West Bengal,South Zone,Echo Force,21.8,Sunny
Type E,A-905,2015-05-27,6796,83.14,24,8,Sensors,Maharashtra,West Zone,Bravo Battalion,25.7,Stormy
Type B,A-663,2018-01-04,3780,77.12,21,5,Navigation System,Maharashtra,East Zone,Echo Force,35.7,Windy
Type E,A-932,2022-11-13,161,71.08,5,2,Wiring,Gujarat,South Zone,Echo Force,29.6,Rainy
Type B,A-281,2018-03-12,5424,89.29,19,10,,Tamil Nadu,West Zone,Bravo Battalion,29.2,Stormy
Type A,A-505,2022-03-13,1988,72.1,13,4,,Rajasthan,West Zone,Alpha Battalion,19.4,Rainy
Type E,A-182,2024-04-04,1982,96.99,35,6,,Tamil Nadu,West Zone,Bravo Battalion,33.6,Stormy
Type E,A-499,2024-12-31,8440,97.33,10,5,Transmission,Assam,West Zone,Charlie Battalion,42.8,Rainy
Type B,A-629,2019-03-14,8197,92.91,3,2,,Assam,Central Command,Bravo Battalion,38.1,Windy
Type E,A-661,2020-01-12,2201,76.31,35,3,Armor Plating,West Bengal,South Zone,Alpha Battalion,33.8,Cloudy
Type D,A-463,2023-03-06,7815,80.63,27,2,Engine,Rajasthan,North Zone,Delta Squadron,37.1,Sunny
Type E,A-879,2015-07-01,1541,63.61,26,2,,Uttar Pradesh,East Zone,Delta Squadron,39.5,Rainy
Type B,A-624,2015-10-20,6791,84.24,39,7,,West Bengal,Central Command,Charlie Battalion,12.3,Windy
Type D,A-916,2020-11-10,5110,72.4,18,7,,Kerala,North Zone,Echo Force,12.7,Rainy
Type B,A-823,2022-06-30,2569,73.35,17,2,Gun System,West Bengal,South Zone,Alpha Battalion,26.5,Rainy
Type A,A-869,2016-06-07,2482,97.86,5,7,,Gujarat,North Zone,Delta Squadron,36.5,Stormy
Type B,A-175,2021-10-04,4417,74.83,50,2,Radar,Delhi,Central Command,Delta Squadron,40.4,Rainy
Type D,A-434,2017-05-14,6309,64.99,43,3,Radar,Punjab,Central Command,Echo Force,41.1,Stormy
Type A,A-418,2023-04-08,2259,60.72,27,0,,Gujarat,North Zone,Echo Force,21.9,Stormy
Type B,A-379,2017-01-28,5117,97.83,27,2,,West Bengal,South Zone,Bravo Battalion,21.6,Stormy
Type A,A-878,2018-10-13,8672,90.6,23,3,,Kerala,West Zone,Echo Force,14.5,Foggy
Type B,A-758,2016-01-19,966,69.78,50,1,Gun System,Maharashtra,East Zone,Echo Force,22.6,Cloudy
Type E,A-361,2017-07-14,6189,70.95,16,0,Transmission,Kerala,North Zone,Delta Squadron,10.5,Stormy
Type C,A-195,2024-08-03,1761,65.31,18,4,Wiring,Kerala,South Zone,Echo Force,44.4,Windy
Type A,A-966,2015-12-30,8066,67.17,38,1,,Kerala,Central Command,Delta Squadron,18.7,Foggy
Type A,A-842,2025-01-17,1373,74.27,20,2,,Punjab,Central Command,Echo Force,31.0,Windy
Type B,A-553,2019-10-09,9426,99.06,7,1,,Assam,South Zone,Delta Squadron,38.6,Stormy
Type C,A-942,2019-09-17,481,92.88,8,6,Wiring,Maharashtra,West Zone,Delta Squadron,16.0,Foggy
Type B,A-992,2023-05-15,4473,69.69,29,7,Gun System,Punjab,North Zone,Bravo Battalion,26.5,Windy
Type B,A-898,2024-03-01,5705,75.58,19,7,Gun System,Assam,East Zone,Charlie Battalion,14.7,Cloudy
Type D,A-626,2019-07-07,4262,79.07,27,4,,Rajasthan,East Zone,Delta Squadron,26.7,Foggy
Type D,A-817,2021-01-03,8260,99.86,49,5,Wiring,Delhi,South Zone,Echo Force,39.6,Windy
Type A,A-856,2015-06-02,5871,71.09,10,5,Engine,Punjab,West Zone,Alpha Battalion,42.1,Rainy
Type A,A-661,2024-12-18,7819,62.03,45,4,,Assam,Central Command,Charlie Battalion,41.6,Sunny
Type D,A-478,2024-01-29,6168,91.02,44,1,,Punjab,South Zone,Bravo Battalion,38.7,Sunny
Type A,A-949,2022-01-25,7116,88.11,40,1,Armor Plating,Assam,South Zone,Bravo Battalion,37.3,Cloudy
Type D,A-396,2018-11-20,8478,90.61,14,3,Gun System,Assam,Central Command,Alpha Battalion,45.0,Stormy
Type D,A-838,2022-01-15,3308,82.6,5,5,,Rajasthan,East Zone,Alpha Battalion,30.5,Stormy
Type D,A-459,2016-01-16,8043,61.01,42,2,Radar,Gujarat,East Zone,Alpha Battalion,14.3,Foggy
Type B,A-629,2021-02-08,3582,83.9,39,4,,Assam,East Zone,Echo Force,26.9,Foggy
Type D,A-645,2019-08-18,7838,69.35,32,0,Wiring,Tamil Nadu,West Zone,Bravo Battalion,10.5,Stormy
Type D,A-609,2021-09-27,5525,83.76,10,6,Brakes,Tamil Nadu,East Zone,Echo Force,28.7,Foggy
Type C,A-446,2017-08-09,1354,75.45,1,8,Engine,Assam,Central Command,Alpha Battalion,40.0,Sunny
Type C,A-165,2021-10-24,2847,99.1,37,8,,Punjab,North Zone,Bravo Battalion,16.5,Rainy
Type E,A-114,2023-08-27,229,74.69,26,4,,Delhi,East Zone,Delta Squadron,42.9,Stormy
Type A,A-273,2024-06-27,7972,99.71,21,4,Sensors,Punjab,Central Command,Charlie Battalion,28.4,Cloudy
Type D,A-724,2024-06-11,3164,73.41,42,2,,Gujarat,North Zone,Charlie Battalion,29.1,Cloudy
Type A,A-108,2022-12-11,8911,72.72,5,4,,Delhi,South Zone,Charlie Battalion,22.4,Windy
Type A,A-475,2021-05-25,5193,71.83,5,2,,Delhi,Central Command,Echo Force,36.8,Stormy
Type B,A-329,2024-08-05,9988,63.49,16,4,,West Bengal,North Zone,Bravo Battalion,15.7,Sunny
Type A,A-709,2024-09-05,2868,83.0,5,1,Wiring,West Bengal,East Zone,Alpha Battalion,14.8,Stormy
Type E,A-756,2015-09-11,4487,61.85,15,1,Navigation System,Tamil Nadu,Central Command,Echo Force,35.3,Stormy
Type D,A-164,2020-12-26,4821,76.68,7,4,,Kerala,Central Command,Delta Squadron,29.1,Windy
Type E,A-731,2018-11-08,6726,97.87,18,4,Armor Plating,Maharashtra,West Zone,Alpha Battalion,23.6,Stormy
Type E,A-521,2024-09-29,5033,84.82,34,8,,Uttar Pradesh,North Zone,Delta Squadron,44.8,Cloudy
Type A,A-913,2017-08-22,7246,80.84,41,0,,Punjab,East Zone,Charlie Battalion,25.6,Rainy
Type E,A-621,2016-07-19,4268,88.13,27,3,Armor Plating,Tamil Nadu,North Zone,Charlie Battalion,23.7,Foggy
Type C,A-226,2016-07-01,688,67.3,5,9,Armor Plating,Maharashtra,Central Command,Echo Force,42.2,Stormy
Type C,A-153,2022-06-22,5556,80.35,0,4,,Gujarat,West Zone,Bravo Battalion,19.7,Stormy
Type E,A-860,2020-11-06,571,75.11,22,1,Sensors,Maharashtra,South Zone,Charlie Battalion,38.4,Foggy
Type C,A-634,2018-12-04,1952,72.68,18,9,Armor Plating,Maharashtra,West Zone,Echo Force,40.8,Foggy
Type D,A-339,2022-07-15,5847,95.55,40,0,Wiring,Gujarat,North Zone,Bravo Battalion,26.8,Sunny
Type D,A-815,2021-12-23,2997,61.59,13,6,,Punjab,South Zone,Echo Force,41.6,Stormy
Type E,A-234,2016-03-22,8996,92.41,49,6,,West Bengal,Central Command,Echo Force,33.6,Sunny
Type D,A-709,2016-07-17,5251,97.62,25,4,Wiring,Gujarat,East Zone,Alpha Battalion,44.2,Foggy
Type D,A-956,2016-05-19,9553,93.43,46,6,Gun System,Kerala,East Zone,Echo Force,32.1,Stormy
Type E,A-718,2022-06-27,4236,69.62,7,2,Gun System,Assam,South Zone,Alpha Battalion,14.9,Foggy
Type B,A-424,2020-11-23,3003,83.03,29,2,,Punjab,West Zone,Delta Squadron,42.6,Windy
Type E,A-866,2022-01-26,3975,70.37,39,5,,Uttar Pradesh,Central Command,Charlie Battalion,34.8,Stormy
Type E,A-962,2015-11-23,9230,82.56,11,5,Armor Plating,Rajasthan,North Zone,Charlie Battalion,13.9,Cloudy
Type B,A-785,2015-11-05,8431,82.82,26,6,Radar,Rajasthan,West Zone,Delta Squadron,31.5,Cloudy
Type A,A-309,2016-08-25,6881,65.75,32,4,Brakes,Punjab,West Zone,Charlie Battalion,34.8,Stormy
Type A,A-496,2022-12-30,7576,83.2,18,0,Wiring,Uttar Pradesh,East Zone,Alpha Battalion,20.9,Rainy
Type C,A-212,2020-10-12,5706,98.58,39,4,,Rajasthan,South Zone,Bravo Battalion,13.1,Sunny
Type E,A-161,2019-08-23,8422,89.28,4,3,Engine,Gujarat,Central Command,Delta Squadron,31.2,Stormy
Type E,A-261,2023-10-05,4144,62.51,10,8,Gun System,Uttar Pradesh,South Zone,Echo Force,15.9,Rainy
Type C,A-688,2018-05-09,7839,84.06,27,4,Radar,Rajasthan,Central Command,Echo Force,40.3,Stormy
Type E,A-770,2019-07-17,4847,80.06,38,8,Transmission,Rajasthan,South Zone,Echo Force,31.9,Sunny
Type C,A-761,2017-09-22,619,74.38,45,6,Gun System,Tamil Nadu,North Zone,Echo Force,29.6,Stormy
Type D,A-436,2016-02-05,7115,81.17,37,2,,Punjab,South Zone,Bravo Battalion,16.1,Sunny
Type B,A-471,2020-08-05,5134,82.8,37,2,,Delhi,North Zone,Echo Force,35.5,Sunny
Type E,A-691,2015-10-22,7460,62.24,48,5,Engine,Assam,West Zone,Delta Squadron,13.6,Windy
Type A,A-144,2021-05-18,6831,64.45,26,1,,Maharashtra,West Zone,Delta Squadron,20.8,Stormy
Type E,A-940,2021-03-06,4719,74.99,20,3,,Rajasthan,East Zone,Echo Force,18.3,Cloudy
Type D,A-541,2016-08-01,5163,97.35,16,2,,Maharashtra,South Zone,Charlie Battalion,40.1,Foggy
Type C,A-715,2019-10-20,2692,62.05,39,4,,Punjab,Central Command,Delta Squadron,36.5,Stormy
Type C,A-243,2022-08-15,4772,94.74,10,7,,Delhi,West Zone,Alpha Battalion,36.3,Stormy
Type C,A-216,2022-09-07,9693,96.23,35,3,,Gujarat,North Zone,Charlie Battalion,21.0,Stormy
Type B,A-102,2021-07-09,9779,65.41,35,3,Wiring,West Bengal,West Zone,Charlie Battalion,40.3,Sunny
Type C,A-605,2021-09-24,3986,62.16,48,2,Navigation System,Kerala,North Zone,Delta Squadron,22.5,Cloudy
Type B,A-659,2019-11-13,6328,96.81,34,2,Transmission,West Bengal,South Zone,Charlie Battalion,30.0,Windy
Type A,A-997,2018-02-04,7186,97.68,39,6,,Delhi,East Zone,Bravo Battalion,44.4,Stormy
Type A,A-569,2016-11-19,1358,96.66,21,2,Armor Plating,Kerala,North Zone,Echo Force,28.9,Windy
Type E,A-586,2015-09-30,6224,84.27,8,4,Transmission,Rajasthan,Central Command,Bravo Battalion,38.3,Stormy
Type D,A-352,2020-10-22,4172,89.13,27,0,Armor Plating,Tamil Nadu,East Zone,Echo Force,15.2,Foggy
Type A,A-158,2020-01-31,9899,89.84,7,10,Gun System,West Bengal,Central Command,Alpha Battalion,27.6,Windy
Type C,A-582,2020-09-08,2174,73.95,14,2,Armor Plating,Assam,South Zone,Delta Squadron,24.5,Stormy
Type D,A-238,2021-10-06,4450,89.93,46,3,,Punjab,South Zone,Alpha Battalion,39.4,Foggy
Type B,A-140,2015-05-27,9215,67.69,32,4,Armor Plating,Rajasthan,West Zone,Echo Force,11.4,Sunny
Type B,A-975,2019-03-05,6263,88.84,23,9,,Gujarat,South Zone,Echo Force,36.6,Windy
Type A,A-260,2020-01-09,2616,95.2,10,4,Navigation System,Maharashtra,North Zone,Charlie Battalion,13.5,Cloudy
Type C,A-137,2024-04-04,8161,92.91,21,2,Brakes,Maharashtra,West Zone,Bravo Battalion,21.1,Windy
Type B,A-751,2017-01-09,641,60.5,12,0,Gun System,Delhi,North Zone,Delta Squadron,43.6,Stormy
Type C,A-724,2022-01-29,9221,96.3,34,3,Brakes,Rajasthan,South Zone,Delta Squadron,25.9,Foggy
Type A,A-951,2015-09-26,8907,61.49,27,9,,Assam,Central Command,Delta Squadron,22.8,Windy
Type D,A-300,2016-09-19,2928,65.04,14,0,,Uttar Pradesh,South Zone,Charlie Battalion,27.8,Sunny
Type A,A-609,2023-03-21,1053,85.12,44,2,,Maharashtra,Central Command,Charlie Battalion,18.7,Stormy
Type E,A-646,2024-03-04,1658,84.35,31,2,,Punjab,East Zone,Charlie Battalion,19.7,Sunny
Type D,A-889,2021-10-24,5793,92.09,25,0,Radar,Maharashtra,Central Command,Delta Squadron,20.9,Stormy
Type E,A-472,2018-06-14,4731,82.65,15,7,Armor Plating,Gujarat,Central Command,Delta Squadron,39.7,Windy
Type C,A-108,2024-09-22,6903,67.8,13,7,Brakes,Maharashtra,West Zone,Bravo Battalion,28.9,Stormy
Type B,A-253,2022-11-08,1998,71.26,26,7,Sensors,Delhi,East Zone,Delta Squadron,26.3,Sunny
Type A,A-343,2022-01-27,1341,79.99,50,0,,Rajasthan,East Zone,Bravo Battalion,12.1,Rainy
Type E,A-202,2018-03-10,3435,60.94,30,0,Sensors,Kerala,West Zone,Delta Squadron,22.5,Foggy
Type B,A-878,2021-03-03,7063,72.35,14,6,Engine,Gujarat,West Zone,Bravo Battalion,36.3,Rainy
Type B,A-345,2017-12-13,9277,67.1,4,3,,Punjab,South Zone,Echo Force,28.7,Windy
Type C,A-228,2015-03-06,9569,69.68,2,3,Armor Plating,Assam,West Zone,Charlie Battalion,28.5,Foggy
Type C,A-225,2017-07-26,3982,72.31,7,2,Engine,Rajasthan,East Zone,Charlie Battalion,15.1,Stormy
Type E,A-510,2023-11-29,767,89.23,49,2,Radar,Delhi,West Zone,Echo Force,17.8,Sunny
Type E,A-330,2016-10-04,2226,61.87,25,3,,Delhi,South Zone,Echo Force,27.2,Sunny
Type B,A-495,2020-10-21,1741,70.61,31,0,Gun System,Gujarat,South Zone,Charlie Battalion,21.1,Cloudy
Type D,A-616,2018-04-10,8213,66.99,32,6,,Delhi,South Zone,Alpha Battalion,29.3,Stormy
Type C,A-448,2018-03-12,259,73.34,44,3,,Delhi,East Zone,Delta Squadron,32.6,Stormy
Type C,A-434,2022-11-14,4143,64.75,45,2,,Tamil Nadu,Central Command,Echo Force,18.5,Foggy
Type A,A-931,2021-07-29,8148,60.02,13,4,Gun System,Maharashtra,North Zone,Charlie Battalion,38.0,Sunny
Type A,A-278,2018-09-08,3030,98.73,23,5,,Uttar Pradesh,North Zone,Bravo Battalion,25.9,Foggy
Type E,A-393,2024-12-11,6165,79.45,11,7,,Tamil Nadu,West Zone,Bravo Battalion,20.8,Windy
Type A,A-334,2022-11-17,8980,74.46,37,4,,Gujarat,South Zone,Charlie Battalion,20.6,Cloudy
Type D,A-755,2020-04-13,8719,90.47,20,9,Engine,Delhi,North Zone,Echo Force,11.5,Cloudy
Type B,A-322,2025-02-18,5899,74.47,32,2,,Assam,East Zone,Delta Squadron,14.1,Stormy
Type A,A-403,2020-05-25,1436,71.21,9,2,,Gujarat,South Zone,Alpha Battalion,41.0,Windy
Type B,A-356,2015-04-01,8643,92.88,13,6,,Tamil Nadu,West Zone,Alpha Battalion,30.9,Rainy
Type C,A-906,2024-09-15,3395,82.61,17,1,,Uttar Pradesh,East Zone,Delta Squadron,32.7,Foggy
Type E,A-228,2024-07-15,4714,95.31,49,1,Armor Plating,Gujarat,East Zone,Bravo Battalion,33.1,Rainy
Type E,A-902,2015-09-22,9760,60.88,0,6,,Tamil Nadu,Central Command,Bravo Battalion,31.7,Sunny
Type E,A-481,2018-03-24,7854,99.17,42,10,,Gujarat,West Zone,Delta Squadron,27.8,Windy
Type C,A-573,2023-04-25,6928,82.15,24,1,,Assam,Central Command,Delta Squadron,22.2,Windy
Type E,A-151,2024-05-03,3604,93.74,7,2,,West Bengal,South Zone,Alpha Battalion,40.6,Sunny
Type D,A-221,2018-05-28,5721,71.9,5,6,,Uttar Pradesh,South Zone,Echo Force,39.7,Sunny
Type B,A-709,2018-10-14,933,85.43,36,3,,Rajasthan,South Zone,Alpha Battalion,43.9,Cloudy
Type B,A-522,2019-07-31,2392,91.76,49,1,Sensors,Rajasthan,East Zone,Alpha Battalion,29.5,Rainy
Type E,A-468,2017-05-14,157,65.55,5,6,,Kerala,West Zone,Bravo Battalion,34.1,Sunny
Type C,A-502,2021-08-16,6329,70.07,40,1,,Maharashtra,North Zone,Alpha Battalion,41.5,Windy
Type B,A-715,2022-11-25,8852,74.14,10,10,,Tamil Nadu,North Zone,Echo Force,11.8,Stormy
Type B,A-335,2023-11-21,6545,83.87,14,1,Engine,Kerala,Central Command,Delta Squadron,11.1,Stormy
Type C,A-656,2022-06-03,4377,74.46,50,3,,Tamil Nadu,South Zone,Delta Squadron,33.1,Cloudy
Type B,A-368,2023-07-31,7100,67.02,17,5,Armor Plating,Tamil Nadu,South Zone,Echo Force,30.1,Windy
Type C,A-916,2023-07-06,3755,62.95,5,5,Navigation System,Punjab,North Zone,Delta Squadron,28.5,Stormy
Type A,A-363,2022-08-03,2865,93.51,43,7,,Delhi,Central Command,Delta Squadron,25.9,Rainy
Type C,A-825,2024-06-08,878,89.35,40,3,Armor Plating,Uttar Pradesh,West Zone,Echo Force,15.9,Stormy
Type E,A-806,2017-09-05,6036,91.3,5,2,Engine,Kerala,Central Command,Charlie Battalion,35.7,Stormy
Type A,A-489,2015-06-26,3918,95.43,28,1,,Assam,South Zone,Delta Squadron,39.3,Cloudy
Type B,A-521,2019-05-12,341,67.41,24,5,Sensors,Delhi,South Zone,Charlie Battalion,19.1,Cloudy
Type D,A-639,2016-08-24,9415,80.7,11,3,Transmission,Punjab,West Zone,Charlie Battalion,13.9,Sunny
Type A,A-512,2018-01-17,8189,99.52,40,3,Armor Plating,Delhi,South Zone,Charlie Battalion,39.8,Stormy
Type C,A-224,2017-04-26,7801,99.58,30,5,Wiring,Punjab,Central Command,Charlie Battalion,30.5,Stormy
Type E,A-789,2018-07-14,6244,73.88,5,0,,Uttar Pradesh,West Zone,Delta Squadron,44.9,Stormy
Type A,A-307,2025-02-04,483,65.61,38,5,Gun System,Delhi,East Zone,Delta Squadron,24.3,Stormy
Type A,A-820,2021-02-16,4745,89.25,29,6,,Maharashtra,South Zone,Delta Squadron,13.9,Cloudy
Type B,A-807,2016-05-15,5328,89.2,45,6,,West Bengal,East Zone,Alpha Battalion,30.3,Rainy
Type B,A-850,2024-03-18,7374,80.51,5,4,Brakes,Tamil Nadu,South Zone,Alpha Battalion,13.2,Sunny
Type C,A-332,2015-03-29,1827,98.81,36,2,Transmission,Maharashtra,Central Command,Alpha Battalion,30.1,Sunny
Type E,A-596,2024-11-02,3480,62.26,6,6,Engine,Rajasthan,Central Command,Echo Force,26.8,Stormy
Type B,A-780,2023-11-09,9249,82.89,13,2,Brakes,Rajasthan,West Zone,Alpha Battalion,12.6,Foggy
Type A,A-440,2023-06-09,8831,71.44,12,2,,Maharashtra,East Zone,Echo Force,33.3,Foggy
Type E,A-767,2015-09-25,181,88.41,8,5,,Assam,North Zone,Charlie Battalion,28.2,Windy
Type B,A-296,2022-09-25,5915,93.39,0,1,Sensors,Delhi,West Zone,Charlie Battalion,22.0,Foggy
Type C,A-846,2018-11-21,1255,92.09,16,1,,Delhi,Central Command,Charlie Battalion,13.0,Rainy
Type D,A-536,2022-08-18,8830,84.38,23,8,Navigation System,Kerala,West Zone,Alpha Battalion,44.4,Cloudy
Type E,A-361,2019-06-27,207,93.7,8,2,Sensors,Gujarat,West Zone,Delta Squadron,14.1,Rainy
Type C,A-930,2020-12-04,2836,61.08,50,3,,Gujarat,South Zone,Bravo Battalion,23.6,Cloudy
Type A,A-695,2023-12-03,628,99.39,3,4,,Punjab,South Zone,Alpha Battalion,14.3,Sunny
Type B,A-663,2019-07-06,9796,64.46,48,6,,Gujarat,North Zone,Alpha Battalion,13.7,Cloudy
Type A,A-872,2020-06-30,4687,82.77,42,5,Transmission,Uttar Pradesh,East Zone,Delta Squadron,16.6,Stormy
Type C,A-191,2021-03-04,2147,84.67,18,4,,Tamil Nadu,East Zone,Alpha Battalion,24.2,Windy
Type D,A-209,2020-10-01,4774,62.34,39,4,Sensors,Rajasthan,East Zone,Bravo Battalion,10.8,Cloudy
Type C,A-344,2020-01-17,9407,69.17,39,7,Radar,Maharashtra,South Zone,Echo Force,42.1,Windy
Type D,A-168,2018-10-25,845,79.87,32,3,,Kerala,East Zone,Delta Squadron,39.9,Sunny
Type E,A-722,2017-08-10,2558,88.28,21,5,,Rajasthan,Central Command,Alpha Battalion,11.1,Rainy
Type C,A-546,2017-09-02,8238,63.27,48,1,Sensors,Punjab,Central Command,Delta Squadron,38.8,Foggy
Type D,A-160,2015-10-10,8633,93.92,1,3,,Uttar Pradesh,Central Command,Alpha Battalion,23.8,Stormy
Type D,A-388,2022-11-03,3172,81.71,46,1,Sensors,Punjab,West Zone,Echo Force,34.6,Windy
Type C,A-129,2015-03-13,164,92.29,43,3,Gun System,Tamil Nadu,East Zone,Alpha Battalion,40.7,Stormy
Type D,A-802,2022-10-01,7895,64.71,36,6,,Delhi,West Zone,Bravo Battalion,38.5,Foggy
Type E,A-903,2017-08-21,8423,97.42,11,1,Engine,Assam,Central Command,Echo Force,43.0,Sunny
Type D,A-929,2022-12-11,1276,70.14,0,4,Transmission,Gujarat,South Zone,Echo Force,28.4,Foggy
Type C,A-604,2022-01-04,2218,78.91,13,5,,Rajasthan,West Zone,Delta Squadron,22.3,Windy
Type D,A-204,2023-04-02,1602,61.73,19,3,Engine,West Bengal,West Zone,Charlie Battalion,11.9,Rainy
Type B,A-642,2017-11-23,6546,79.54,24,4,,Gujarat,West Zone,Alpha Battalion,32.3,Cloudy
Type C,A-383,2020-05-14,5544,85.99,36,9,Navigation System,Rajasthan,North Zone,Charlie Battalion,25.0,Foggy
Type B,A-828,2021-05-27,7081,60.37,36,2,,Delhi,South Zone,Echo Force,29.5,Foggy
Type C,A-165,2017-09-11,3578,70.8,8,4,Engine,Tamil Nadu,North Zone,Delta Squadron,30.6,Cloudy
Type A,A-767,2023-04-05,3336,97.63,28,3,Brakes,Uttar Pradesh,West Zone,Charlie Battalion,26.5,Rainy
Type B,A-351,2023-08-12,1861,84.28,35,3,Sensors,Uttar Pradesh,West Zone,Delta Squadron,34.2,Rainy
Type A,A-201,2019-02-27,2383,60.51,22,3,,Tamil Nadu,South Zone,Bravo Battalion,30.3,Windy
Type C,A-709,2021-06-29,8516,78.74,2,6,,Assam,East Zone,Echo Force,21.2,Foggy
Type E,A-285,2020-12-28,7277,96.38,34,10,,Punjab,South Zone,Bravo Battalion,43.2,Windy
Type B,A-771,2021-02-02,5561,70.72,5,0,,Assam,Central Command,Charlie Battalion,14.2,Cloudy
Type E,A-518,2025-01-28,6518,69.62,36,6,Navigation System,Tamil Nadu,West Zone,Delta Squadron,43.3,Sunny
Type A,A-554,2019-01-22,4253,84.14,4,5,,Assam,East Zone,Bravo Battalion,13.6,Rainy
Type A,A-419,2016-11-26,883,97.86,15,6,Brakes,Delhi,South Zone,Charlie Battalion,12.5,Sunny
Type C,A-275,2024-09-27,664,83.27,33,1,,Kerala,West Zone,Alpha Battalion,37.0,Stormy
Type E,A-420,2019-03-14,5381,96.12,41,6,,West Bengal,North Zone,Alpha Battalion,43.2,Rainy
Type E,A-552,2020-06-16,9166,88.01,1,4,Radar,Kerala,North Zone,Bravo Battalion,28.3,Sunny
Type B,A-248,2018-06-07,1912,82.07,25,4,Gun System,West Bengal,Central Command,Bravo Battalion,29.5,Sunny
Type C,A-365,2023-09-22,2512,94.59,47,2,Armor Plating,Gujarat,Central Command,Bravo Battalion,24.4,Windy
Type C,A-609,2018-10-18,6330,85.79,38,2,Engine,Uttar Pradesh,North Zone,Alpha Battalion,37.0,Foggy
Type C,A-653,2019-05-20,2363,88.79,34,5,Brakes,Rajasthan,North Zone,Echo Force,32.1,Sunny
Type A,A-595,2017-01-02,5138,76.38,23,3,Armor Plating,Kerala,Central Command,Charlie Battalion,36.9,Stormy
Type B,A-522,2021-09-13,6132,64.82,33,4,,Maharashtra,East Zone,Echo Force,28.4,Sunny
Type B,A-684,2022-12-03,8305,77.62,33,2,Gun System,Kerala,North Zone,Echo Force,28.5,Foggy
Type C,A-540,2017-06-14,3069,94.45,31,1,,Rajasthan,Central Command,Alpha Battalion,25.9,Rainy
Type E,A-648,2018-09-30,3754,90.13,37,8,Brakes,Delhi,North Zone,Echo Force,39.5,Rainy
Type E,A-599,2024-12-17,9357,95.32,1,2,Brakes,Gujarat,East Zone,Echo Force,36.4,Windy
Type C,A-371,2015-08-02,3372,96.71,27,0,Transmission,Uttar Pradesh,South Zone,Bravo Battalion,34.3,Sunny
Type D,A-369,2022-09-08,3883,96.63,15,6,,Tamil Nadu,East Zone,Bravo Battalion,32.0,Windy
Type B,A-876,2019-02-21,4054,85.64,45,8,Radar,Tamil Nadu,East Zone,Bravo Battalion,27.4,Cloudy
Type C,A-211,2023-04-03,8814,82.5,19,2,Navigation System,Uttar Pradesh,North Zone,Echo Force,40.8,Sunny
Type A,A-512,2018-07-17,9744,63.31,42,6,Armor Plating,Uttar Pradesh,North Zone,Echo Force,11.3,Cloudy
Type D,A-308,2021-04-10,2819,69.24,34,5,,West Bengal,North Zone,Echo Force,44.9,Rainy
Type B,A-749,2018-08-20,4624,95.98,38,5,,Delhi,West Zone,Echo Force,26.1,Stormy
Type A,A-871,2019-04-19,1066,95.52,40,4,,Tamil Nadu,South Zone,Bravo Battalion,32.8,Rainy
Type E,A-424,2024-01-27,9734,72.21,8,0,,Assam,East Zone,Alpha Battalion,17.6,Sunny
Type D,A-677,2015-09-12,6652,78.14,49,8,Wiring,Rajasthan,East Zone,Delta Squadron,34.1,Stormy
Type E,A-643,2024-01-14,8190,86.76,27,1,Gun System,Rajasthan,Central Command,Charlie Battalion,13.6,Stormy
Type C,A-532,2022-02-12,842,89.92,2,4,Armor Plating,Uttar Pradesh,West Zone,Alpha Battalion,20.4,Sunny
Type A,A-729,2024-05-07,891,63.17,50,5,,Delhi,South Zone,Alpha Battalion,15.4,Windy
Type C,A-823,2023-04-28,3178,96.81,16,5,,Rajasthan,West Zone,Delta Squadron,12.1,Cloudy
Type D,A-632,2021-08-27,4854,93.61,43,2,Engine,Delhi,Central Command,Echo Force,42.1,Rainy
Type A,A-273,2021-09-11,7332,79.03,36,3,,West Bengal,West Zone,Echo Force,24.5,Cloudy
Type B,A-829,2015-07-17,3028,66.16,4,6,Navigation System,Kerala,West Zone,Echo Force,21.1,Sunny
Type B,A-163,2016-07-10,4400,77.77,48,1,,Tamil Nadu,West Zone,Bravo Battalion,10.8,Sunny
Type E,A-922,2016-03-21,8729,83.32,44,8,,Assam,East Zone,Charlie Battalion,31.7,Stormy
Type D,A-949,2024-09-09,2631,87.11,27,1,,Maharashtra,Central Command,Bravo Battalion,35.4,Sunny
Type B,A-216,2018-05-08,1016,84.54,13,9,Brakes,Gujarat,East Zone,Charlie Battalion,36.6,Cloudy
