Vehicle Type,Vehicle ID,Purchase Timestamp,Usage Hours,Performance Metrics,Maintenance Logs,Number of Failures,Parts with Issues,State,Area,Battalion,Temperature,Weather Conditions
Type E,V-451,2016-10-21,6324,68.14,22,3,Transmission,Uttarakhand,Mountainous,Kumaon Regiment,4,Foggy
Type A,V-787,2021-05-14,3089,81.36,25,7,None,Manipur,Jungle,Assam Rifles,29,Heavy Rain
Type C,V-691,2023-04-16,3277,75.71,2,5,None,Rajasthan,Desert,Kumaon Regiment,38,Clear Skies
Type B,V-199,2015-03-03,9943,61.31,7,3,Wiring,Sikkim,Mountainous,Dogra Regiment,-5,Extreme Cold
Type B,V-461,2022-07-17,8937,77.4,15,2,Gun System,Punjab,Plains,Dogra Regiment,21,Foggy
Type D,V-274,2019-03-30,7636,61.34,43,2,Radar,Nagaland,Jungle,Dogra Regiment,24,Heavy Rain
Type C,V-780,2024-05-13,3886,78.41,37,4,Engine,Punjab,Plains,Sikh Light Infantry,22,Mild Cold
Type E,V-852,2021-06-05,7231,65.73,26,6,Engine,Assam,Plains,Assam Rifles,29,Foggy
Type A,V-799,2016-11-17,7857,96.03,19,4,Engine,Uttarakhand,Mountainous,Punjab Regiment,-2,Snowfall
Type B,V-404,2021-06-02,2819,63.14,43,7,None,Himachal Pradesh,Hilly,Sikh Light Infantry,10,Rainy
Type D,V-245,2023-04-30,6074,74.28,19,3,Radar,Himachal Pradesh,Hilly,Assam Rifles,6,Rainy
Type E,V-548,2024-11-21,475,82.21,43,8,None,Assam,Plains,Dogra Regiment,19,Mild Cold
Type D,V-368,2018-07-27,6998,87.55,26,6,Wiring,Sikkim,Mountainous,Kumaon Regiment,-8,Extreme Cold
Type C,V-277,2021-11-18,8759,76.14,26,3,Gun System,Jammu & Kashmir,Mountainous,Rajput Regiment,2,Foggy
Type A,V-127,2022-09-12,7303,77.9,47,3,None,Rajasthan,Desert,Dogra Regiment,39,Dust Storms
Type D,V-290,2019-04-27,4704,84.82,15,1,Engine,Jammu & Kashmir,Mountainous,Bihar Regiment,-7,Snowfall
Type C,V-376,2019-06-16,7088,83.49,17,2,None,Arunachal Pradesh,Jungle,Bihar Regiment,31,Humid
Type C,V-200,2023-05-01,7808,78.86,24,1,Armor Plating,Manipur,Jungle,Bihar Regiment,26,Humid
Type C,V-275,2019-07-09,649,91.88,12,8,Sensors,Himachal Pradesh,Hilly,Gorkha Rifles,19,Rainy
Type E,V-745,2023-11-23,7788,65.5,44,4,Engine,Uttarakhand,Mountainous,Kumaon Regiment,-1,Foggy
Type C,V-971,2018-01-31,2618,87.99,20,9,None,Manipur,Jungle,Punjab Regiment,21,Foggy
Type E,V-608,2023-10-23,958,74.28,43,7,Radar,Punjab,Plains,Kumaon Regiment,21,Mild Cold
Type B,V-570,2022-10-25,2167,60.26,36,4,Transmission,Himachal Pradesh,Hilly,Jat Regiment,7,Cool Climate
Type A,V-613,2019-06-06,7040,61.81,16,7,None,Nagaland,Jungle,Sikh Light Infantry,26,Heavy Rain
Type A,V-212,2023-07-11,9208,69.43,16,1,None,Sikkim,Mountainous,Sikh Light Infantry,-3,Snowfall
Type A,V-224,2023-11-08,7164,61.72,47,3,Engine,Manipur,Jungle,Dogra Regiment,34,Foggy
Type E,V-405,2019-05-06,3595,76.37,11,7,None,Punjab,Plains,Bihar Regiment,29,Foggy
Type C,V-996,2021-04-05,2678,93.73,8,3,Gun System,Nagaland,Jungle,Gorkha Rifles,27,Foggy
Type A,V-428,2024-12-29,4311,73.38,1,4,Armor Plating,Nagaland,Jungle,Sikh Light Infantry,34,Heavy Rain
Type D,V-119,2019-03-20,809,65.7,18,10,Transmission,Sikkim,Mountainous,Naga Regiment,3,Extreme Cold
Type C,V-630,2017-08-01,5773,61.8,36,5,Transmission,Assam,Plains,Dogra Regiment,22,Foggy
Type E,V-865,2025-02-20,4176,87.78,5,2,None,Manipur,Jungle,Punjab Regiment,34,Humid
Type D,V-225,2016-02-02,625,87.91,14,3,None,Rajasthan,Desert,Sikh Light Infantry,42,Clear Skies
Type C,V-268,2023-04-28,2399,91.42,42,5,None,Sikkim,Mountainous,Naga Regiment,7,Extreme Cold
Type C,V-679,2024-04-20,8567,91.63,8,9,Sensors,Manipur,Jungle,Gorkha Rifles,23,Heavy Rain
Type A,V-288,2022-05-26,8560,64.16,35,4,None,Nagaland,Jungle,Assam Rifles,32,Humid
Type A,V-203,2016-12-04,1766,87.76,13,2,Navigation System,Punjab,Plains,Bihar Regiment,10,Foggy
Type A,V-343,2025-01-03,4975,67.65,26,2,None,Uttarakhand,Mountainous,Bihar Regiment,6,Extreme Cold
Type E,V-525,2023-10-12,5655,76.93,27,1,None,Rajasthan,Desert,Sikh Light Infantry,40,Hot and Dry
Type B,V-637,2023-01-25,9462,82.58,9,3,None,Himachal Pradesh,Hilly,Gorkha Rifles,15,Foggy
Type B,V-587,2020-02-08,1309,81.45,47,5,Engine,Arunachal Pradesh,Jungle,Bihar Regiment,35,Foggy
Type D,V-483,2023-07-21,2155,85.08,43,4,Brakes,Uttarakhand,Mountainous,Jat Regiment,-8,Foggy
Type A,V-696,2019-03-17,1775,68.02,9,2,Wiring,Sikkim,Mountainous,Gorkha Rifles,4,Extreme Cold
Type E,V-874,2024-01-04,6227,77.66,18,7,Wiring,Manipur,Jungle,Gorkha Rifles,29,Humid
Type B,V-610,2021-07-06,9550,84.31,37,8,None,Sikkim,Mountainous,Kumaon Regiment,9,Snowfall
Type D,V-243,2017-03-18,2266,86.32,14,2,Radar,Assam,Plains,Sikh Light Infantry,11,Clear Skies
Type D,V-513,2016-01-18,1421,79.96,10,2,None,Sikkim,Mountainous,Punjab Regiment,1,Snowfall
Type E,V-715,2016-12-09,822,93.62,21,5,Sensors,Uttarakhand,Mountainous,Assam Rifles,6,Snowfall
Type C,V-950,2022-01-03,2153,95.61,18,2,None,Assam,Plains,Rajput Regiment,19,Mild Cold
Type C,V-971,2018-01-30,7262,86.67,25,2,Sensors,Nagaland,Jungle,Bihar Regiment,32,Humid
Type E,V-786,2021-12-30,2698,82.82,7,2,None,Sikkim,Mountainous,Gorkha Rifles,6,Extreme Cold
Type D,V-736,2019-01-10,4682,73.58,42,2,None,Punjab,Plains,Dogra Regiment,26,Foggy
Type E,V-219,2019-02-05,7091,94.57,16,4,Navigation System,Uttarakhand,Mountainous,Punjab Regiment,-8,Foggy
Type A,V-294,2019-02-08,619,79.62,27,0,None,Himachal Pradesh,Hilly,Dogra Regiment,13,Rainy
Type C,V-412,2022-09-28,1702,68.43,9,7,Armor Plating,Uttarakhand,Mountainous,Naga Regiment,-2,Extreme Cold
Type A,V-830,2022-05-10,1351,98.32,50,5,Gun System,Jammu & Kashmir,Mountainous,Rajput Regiment,8,Extreme Cold
Type D,V-930,2024-07-26,5342,66.75,10,7,None,Rajasthan,Desert,Bihar Regiment,49,Hot and Dry
Type D,V-751,2021-09-09,7588,74.29,17,6,Radar,Nagaland,Jungle,Dogra Regiment,21,Humid
Type B,V-325,2023-03-10,1029,61.34,40,2,Transmission,Arunachal Pradesh,Jungle,Gorkha Rifles,21,Heavy Rain
Type D,V-882,2017-05-27,4943,90.74,47,4,None,Punjab,Plains,Assam Rifles,16,Clear Skies
Type B,V-241,2019-08-01,5613,76.77,48,4,None,Sikkim,Mountainous,Rajput Regiment,0,Snowfall
Type E,V-341,2021-01-26,9243,78.66,6,7,Transmission,Himachal Pradesh,Hilly,Kumaon Regiment,17,Foggy
Type E,V-130,2023-04-18,8938,68.99,26,6,Radar,Punjab,Plains,Assam Rifles,15,Foggy
Type A,V-929,2016-06-20,4012,69.13,47,3,Sensors,Jammu & Kashmir,Mountainous,Dogra Regiment,-1,Extreme Cold
Type D,V-813,2022-11-28,1848,86.18,5,5,Wiring,Assam,Plains,Punjab Regiment,11,Mild Cold
Type B,V-605,2022-05-31,8333,92.63,27,9,None,Nagaland,Jungle,Dogra Regiment,31,Heavy Rain
Type D,V-689,2016-02-23,5807,69.3,38,1,None,Arunachal Pradesh,Jungle,Kumaon Regiment,34,Heavy Rain
Type B,V-602,2018-07-05,2772,98.93,40,0,None,Nagaland,Jungle,Bihar Regiment,28,Heavy Rain
Type E,V-175,2020-10-06,7562,65.91,4,0,None,Manipur,Jungle,Naga Regiment,28,Foggy
Type C,V-186,2025-02-14,6261,81.37,16,6,Wiring,Arunachal Pradesh,Jungle,Gorkha Rifles,30,Heavy Rain
Type E,V-703,2017-03-28,3285,73.59,22,3,None,Jammu & Kashmir,Mountainous,Sikh Light Infantry,-10,Snowfall
Type D,V-978,2016-08-11,1865,88.59,41,7,Brakes,Rajasthan,Desert,Jat Regiment,48,Dust Storms
Type D,V-974,2021-10-19,3452,61.86,30,1,Radar,Uttarakhand,Mountainous,Punjab Regiment,9,Foggy
Type C,V-683,2021-08-22,5875,70.61,50,4,Transmission,Arunachal Pradesh,Jungle,Gorkha Rifles,33,Humid
Type D,V-117,2019-05-05,938,78.36,14,3,Radar,Nagaland,Jungle,Jat Regiment,26,Foggy
Type B,V-282,2016-05-17,7506,85.47,35,3,Transmission,Punjab,Plains,Naga Regiment,15,Mild Cold
Type A,V-731,2017-03-17,3482,77.5,24,3,None,Jammu & Kashmir,Mountainous,Jat Regiment,-2,Foggy
Type A,V-792,2016-10-22,7936,61.7,5,8,None,Himachal Pradesh,Hilly,Rajput Regiment,16,Cool Climate
Type A,V-603,2016-09-25,4849,89.64,22,5,None,Sikkim,Mountainous,Punjab Regiment,-3,Foggy
Type A,V-449,2018-08-16,3122,97.57,49,9,None,Uttarakhand,Mountainous,Assam Rifles,0,Snowfall
Type E,V-834,2023-02-10,797,95.03,42,6,None,Rajasthan,Desert,Naga Regiment,34,Clear Skies
Type E,V-219,2022-02-16,5274,69.66,13,5,Navigation System,Manipur,Jungle,Naga Regiment,34,Humid
Type C,V-627,2024-12-01,395,83.7,4,10,None,Manipur,Jungle,Kumaon Regiment,23,Foggy
Type B,V-727,2025-01-09,5203,89.85,38,6,Armor Plating,Rajasthan,Desert,Dogra Regiment,33,Hot and Dry
Type B,V-216,2018-02-07,5724,63.87,34,4,None,Jammu & Kashmir,Mountainous,Bihar Regiment,-7,Extreme Cold
Type C,V-544,2021-08-22,4503,62.78,15,4,None,Rajasthan,Desert,Dogra Regiment,32,Clear Skies
Type D,V-913,2023-06-13,1907,65.03,6,1,Gun System,Sikkim,Mountainous,Assam Rifles,-9,Foggy
Type C,V-907,2018-11-03,3632,75.81,23,4,None,Himachal Pradesh,Hilly,Rajput Regiment,16,Rainy
Type A,V-393,2022-06-05,3143,85.72,30,4,None,Arunachal Pradesh,Jungle,Jat Regiment,22,Humid
Type D,V-272,2021-05-21,1387,80.78,46,1,None,Jammu & Kashmir,Mountainous,Sikh Light Infantry,7,Foggy
Type B,V-691,2018-09-21,1428,72.56,4,4,None,Nagaland,Jungle,Punjab Regiment,28,Foggy
Type C,V-349,2015-10-31,8672,64.84,20,3,Radar,Assam,Plains,Dogra Regiment,23,Mild Cold
Type E,V-559,2022-11-15,2669,99.05,13,3,Armor Plating,Rajasthan,Desert,Naga Regiment,43,Dust Storms
Type A,V-856,2017-06-16,2749,82.28,22,3,None,Arunachal Pradesh,Jungle,Gorkha Rifles,30,Foggy
Type C,V-811,2015-03-24,6801,79.97,33,6,Navigation System,Sikkim,Mountainous,Kumaon Regiment,9,Extreme Cold
Type D,V-573,2024-07-15,5314,89.7,37,2,Gun System,Jammu & Kashmir,Mountainous,Dogra Regiment,-3,Foggy
Type D,V-274,2020-10-19,3358,75.06,24,6,None,Assam,Plains,Bihar Regiment,15,Foggy
Type A,V-639,2024-07-10,7910,98.08,39,0,None,Sikkim,Mountainous,Jat Regiment,-8,Foggy
Type C,V-939,2022-08-28,4266,78.9,2,4,Engine,Assam,Plains,Kumaon Regiment,17,Clear Skies
Type C,V-584,2020-02-25,5925,89.23,39,2,None,Manipur,Jungle,Dogra Regiment,31,Foggy
Type D,V-952,2022-10-18,9059,66.51,5,6,None,Manipur,Jungle,Dogra Regiment,33,Humid
Type D,V-928,2023-11-04,9828,64.15,47,6,None,Assam,Plains,Kumaon Regiment,13,Clear Skies
Type E,V-210,2023-11-03,6746,70.33,0,2,Armor Plating,Nagaland,Jungle,Naga Regiment,26,Heavy Rain
Type A,V-127,2019-11-16,1250,77.79,37,2,Sensors,Manipur,Jungle,Rajput Regiment,21,Foggy
Type C,V-412,2019-09-12,3217,69.7,44,6,Armor Plating,Arunachal Pradesh,Jungle,Gorkha Rifles,34,Heavy Rain
Type E,V-579,2024-08-17,3137,64.09,21,7,Wiring,Arunachal Pradesh,Jungle,Kumaon Regiment,26,Heavy Rain
Type A,V-333,2016-12-21,1864,87.67,33,1,Engine,Jammu & Kashmir,Mountainous,Kumaon Regiment,10,Extreme Cold
Type E,V-868,2020-01-03,3069,68.7,49,7,Gun System,Jammu & Kashmir,Mountainous,Assam Rifles,-2,Foggy
Type B,V-190,2024-08-26,8477,65.46,13,2,None,Nagaland,Jungle,Rajput Regiment,20,Humid
Type C,V-683,2023-10-18,7223,81.94,0,3,Engine,Nagaland,Jungle,Gorkha Rifles,21,Humid
Type C,V-990,2015-08-11,2874,92.35,36,4,Transmission,Uttarakhand,Mountainous,Naga Regiment,-6,Extreme Cold
Type E,V-807,2016-03-23,5264,87.51,4,3,None,Arunachal Pradesh,Jungle,Kumaon Regiment,24,Foggy
Type A,V-384,2016-05-16,2041,79.09,47,2,None,Sikkim,Mountainous,Bihar Regiment,3,Foggy
Type C,V-857,2016-09-12,7669,91.34,26,3,Radar,Jammu & Kashmir,Mountainous,Gorkha Rifles,-2,Extreme Cold
Type E,V-656,2016-07-20,6739,79.5,14,7,Wiring,Punjab,Plains,Punjab Regiment,14,Clear Skies
Type C,V-160,2018-02-16,4450,74.45,37,4,None,Uttarakhand,Mountainous,Jat Regiment,1,Extreme Cold
Type C,V-156,2017-04-27,8306,92.88,34,9,None,Arunachal Pradesh,Jungle,Sikh Light Infantry,35,Heavy Rain
Type E,V-538,2017-11-14,2346,91.3,38,4,None,Rajasthan,Desert,Jat Regiment,34,Dust Storms
Type E,V-900,2024-07-13,272,84.75,12,3,None,Assam,Plains,Gorkha Rifles,10,Clear Skies
Type B,V-232,2017-10-17,4576,72.73,2,5,Armor Plating,Sikkim,Mountainous,Dogra Regiment,0,Snowfall
Type A,V-706,2018-08-31,1485,82.95,35,2,Brakes,Manipur,Jungle,Rajput Regiment,30,Humid
Type E,V-106,2025-01-20,652,73.68,41,2,Transmission,Nagaland,Jungle,Kumaon Regiment,29,Heavy Rain
Type C,V-649,2022-08-08,439,71.01,25,9,None,Manipur,Jungle,Assam Rifles,25,Foggy
Type E,V-333,2023-08-17,8900,64.98,22,5,None,Rajasthan,Desert,Jat Regiment,48,Hot and Dry
Type E,V-411,2017-03-01,370,61.82,35,6,Navigation System,Rajasthan,Desert,Dogra Regiment,46,Hot and Dry
Type E,V-175,2018-07-02,7718,70.95,41,4,Radar,Punjab,Plains,Jat Regiment,25,Clear Skies
Type C,V-287,2016-12-13,4883,77.0,4,1,None,Rajasthan,Desert,Bihar Regiment,47,Clear Skies
Type B,V-292,2016-05-30,8080,97.14,20,4,None,Arunachal Pradesh,Jungle,Sikh Light Infantry,23,Heavy Rain
Type E,V-236,2017-01-28,1064,66.02,3,3,Engine,Himachal Pradesh,Hilly,Sikh Light Infantry,9,Cool Climate
Type E,V-669,2022-12-07,8364,86.06,36,1,Transmission,Rajasthan,Desert,Rajput Regiment,32,Clear Skies
Type C,V-142,2017-04-30,9069,88.32,21,9,None,Sikkim,Mountainous,Gorkha Rifles,-1,Snowfall
Type E,V-920,2020-09-29,9752,92.25,18,6,None,Himachal Pradesh,Hilly,Naga Regiment,20,Foggy
Type C,V-744,2024-07-23,8061,93.19,45,2,Transmission,Uttarakhand,Mountainous,Gorkha Rifles,-2,Snowfall
Type B,V-602,2023-05-15,8362,94.5,14,10,None,Rajasthan,Desert,Jat Regiment,49,Dust Storms
Type B,V-931,2015-11-13,6757,93.34,10,7,None,Sikkim,Mountainous,Assam Rifles,7,Foggy
Type B,V-373,2019-11-12,8942,64.63,25,2,Engine,Arunachal Pradesh,Jungle,Kumaon Regiment,28,Foggy
Type D,V-623,2020-12-20,7878,63.12,40,4,None,Rajasthan,Desert,Kumaon Regiment,44,Dust Storms
Type A,V-204,2023-11-22,8698,95.62,37,3,Navigation System,Punjab,Plains,Sikh Light Infantry,19,Mild Cold
Type E,V-157,2023-03-03,6380,60.76,14,10,None,Arunachal Pradesh,Jungle,Kumaon Regiment,32,Heavy Rain
Type B,V-335,2019-09-05,370,66.88,9,8,Engine,Arunachal Pradesh,Jungle,Gorkha Rifles,20,Foggy
Type C,V-140,2016-08-11,3032,70.32,30,4,None,Punjab,Plains,Jat Regiment,19,Mild Cold
Type A,V-375,2016-10-03,5964,66.97,48,3,Brakes,Jammu & Kashmir,Mountainous,Gorkha Rifles,-5,Foggy
Type E,V-752,2022-11-14,5475,93.48,43,7,None,Manipur,Jungle,Assam Rifles,27,Foggy
Type E,V-499,2022-11-18,5753,89.79,40,6,Gun System,Assam,Plains,Sikh Light Infantry,24,Clear Skies
Type B,V-220,2016-01-21,7843,68.13,50,1,Engine,Arunachal Pradesh,Jungle,Punjab Regiment,23,Humid
Type C,V-925,2015-05-30,8560,97.53,36,2,Sensors,Jammu & Kashmir,Mountainous,Assam Rifles,5,Snowfall
Type B,V-372,2022-03-08,5057,98.29,24,3,None,Sikkim,Mountainous,Assam Rifles,7,Foggy
Type A,V-551,2024-12-01,3558,84.28,20,6,Sensors,Arunachal Pradesh,Jungle,Kumaon Regiment,28,Humid
Type D,V-419,2018-08-27,1333,90.24,46,6,Sensors,Himachal Pradesh,Hilly,Rajput Regiment,20,Cool Climate
Type A,V-608,2022-01-28,2081,96.5,7,4,Sensors,Uttarakhand,Mountainous,Kumaon Regiment,-5,Extreme Cold
Type D,V-736,2024-04-14,3172,99.02,5,4,None,Rajasthan,Desert,Kumaon Regiment,32,Clear Skies
Type A,V-470,2022-06-12,8011,87.19,1,9,Brakes,Himachal Pradesh,Hilly,Sikh Light Infantry,13,Cool Climate
Type D,V-500,2021-08-11,4316,81.38,17,1,Brakes,Uttarakhand,Mountainous,Dogra Regiment,3,Foggy
Type E,V-976,2021-06-10,2341,99.94,5,1,Brakes,Manipur,Jungle,Assam Rifles,22,Humid
Type C,V-606,2021-12-13,2899,96.82,22,5,Armor Plating,Rajasthan,Desert,Sikh Light Infantry,44,Clear Skies
Type A,V-822,2019-05-19,7323,81.24,1,4,Sensors,Uttarakhand,Mountainous,Dogra Regiment,-5,Snowfall
Type C,V-224,2018-07-16,9401,87.51,49,3,Transmission,Himachal Pradesh,Hilly,Assam Rifles,20,Foggy
Type A,V-737,2022-06-28,9614,78.68,32,5,None,Uttarakhand,Mountainous,Sikh Light Infantry,0,Extreme Cold
Type B,V-287,2020-08-15,2838,81.07,4,2,Transmission,Assam,Plains,Rajput Regiment,27,Mild Cold
Type D,V-630,2019-05-02,6837,76.8,32,2,Navigation System,Assam,Plains,Bihar Regiment,11,Clear Skies
Type A,V-845,2024-08-28,2876,92.45,25,10,Radar,Uttarakhand,Mountainous,Punjab Regiment,-2,Snowfall
Type C,V-169,2015-11-30,604,83.56,3,2,Brakes,Assam,Plains,Punjab Regiment,21,Foggy
Type D,V-894,2020-02-18,3213,81.7,5,0,None,Arunachal Pradesh,Jungle,Rajput Regiment,24,Heavy Rain
Type E,V-444,2020-04-18,3187,76.47,29,3,None,Assam,Plains,Bihar Regiment,29,Foggy
Type E,V-525,2019-12-07,5474,94.92,4,6,Navigation System,Manipur,Jungle,Jat Regiment,25,Foggy
Type A,V-931,2015-04-19,9604,92.82,5,6,None,Arunachal Pradesh,Jungle,Punjab Regiment,33,Heavy Rain
Type D,V-992,2021-09-23,7319,72.68,21,9,Engine,Manipur,Jungle,Naga Regiment,34,Heavy Rain
Type B,V-319,2024-01-06,9187,67.96,14,6,None,Punjab,Plains,Punjab Regiment,23,Mild Cold
Type A,V-995,2022-04-03,903,84.8,23,2,None,Arunachal Pradesh,Jungle,Gorkha Rifles,34,Humid
Type A,V-235,2022-02-05,6718,69.23,0,4,Radar,Assam,Plains,Bihar Regiment,28,Mild Cold
Type D,V-679,2024-04-01,3010,77.18,39,4,Radar,Himachal Pradesh,Hilly,Bihar Regiment,19,Foggy
Type B,V-916,2017-11-09,6893,71.73,31,3,None,Arunachal Pradesh,Jungle,Rajput Regiment,35,Humid
Type D,V-148,2021-04-05,3640,66.17,45,3,Gun System,Assam,Plains,Naga Regiment,20,Mild Cold
Type B,V-116,2016-03-08,6382,72.92,34,4,Brakes,Sikkim,Mountainous,Sikh Light Infantry,-1,Snowfall
Type D,V-606,2021-10-10,6569,77.55,8,3,None,Himachal Pradesh,Hilly,Assam Rifles,13,Foggy
Type A,V-862,2017-10-22,5839,84.89,11,3,None,Uttarakhand,Mountainous,Jat Regiment,0,Extreme Cold
Type C,V-850,2015-11-05,520,60.94,42,2,Transmission,Sikkim,Mountainous,Jat Regiment,6,Foggy
Type B,V-771,2015-11-24,5625,73.02,34,4,None,Assam,Plains,Rajput Regiment,18,Clear Skies
Type E,V-645,2021-12-18,2670,63.02,34,4,Wiring,Manipur,Jungle,Naga Regiment,34,Foggy
Type C,V-316,2022-12-11,5475,63.94,10,10,Navigation System,Arunachal Pradesh,Jungle,Kumaon Regiment,29,Humid
Type B,V-121,2024-08-28,5185,76.9,5,1,Armor Plating,Nagaland,Jungle,Jat Regiment,22,Humid
Type A,V-491,2024-02-08,1935,91.17,48,9,None,Nagaland,Jungle,Assam Rifles,27,Foggy
Type B,V-108,2015-08-20,7901,60.96,36,5,None,Assam,Plains,Assam Rifles,18,Clear Skies
Type D,V-718,2019-12-04,5260,74.74,41,1,None,Jammu & Kashmir,Mountainous,Kumaon Regiment,-10,Snowfall
Type C,V-338,2019-06-22,3681,91.89,36,5,None,Arunachal Pradesh,Jungle,Gorkha Rifles,23,Humid
Type B,V-202,2022-08-04,5367,88.96,44,7,None,Sikkim,Mountainous,Naga Regiment,9,Foggy
Type E,V-641,2016-01-22,6335,96.54,46,6,Gun System,Rajasthan,Desert,Dogra Regiment,34,Dust Storms
Type A,V-498,2020-05-21,6439,64.58,41,6,Armor Plating,Sikkim,Mountainous,Dogra Regiment,8,Snowfall
Type E,V-627,2020-07-30,7434,75.43,3,4,Transmission,Jammu & Kashmir,Mountainous,Punjab Regiment,-4,Foggy
Type C,V-686,2022-07-16,5368,92.39,26,0,Transmission,Uttarakhand,Mountainous,Sikh Light Infantry,3,Extreme Cold
Type E,V-972,2018-07-14,6051,66.4,18,4,Transmission,Himachal Pradesh,Hilly,Sikh Light Infantry,5,Foggy
Type C,V-703,2024-11-08,7699,79.57,36,3,None,Uttarakhand,Mountainous,Assam Rifles,0,Foggy
Type B,V-643,2017-04-14,3029,98.66,27,3,Engine,Nagaland,Jungle,Dogra Regiment,33,Heavy Rain
Type B,V-187,2022-12-28,3386,98.13,31,0,Engine,Arunachal Pradesh,Jungle,Gorkha Rifles,25,Heavy Rain
Type D,V-343,2023-01-24,4551,82.16,44,4,Sensors,Sikkim,Mountainous,Dogra Regiment,4,Foggy
Type A,V-737,2023-02-08,3031,74.53,13,4,None,Assam,Plains,Sikh Light Infantry,20,Foggy
Type A,V-671,2015-06-21,5841,75.75,32,1,Radar,Nagaland,Jungle,Assam Rifles,22,Humid
Type E,V-388,2023-02-08,2353,79.02,4,5,Navigation System,Himachal Pradesh,Hilly,Sikh Light Infantry,11,Rainy
Type A,V-715,2017-10-22,3369,85.84,26,3,None,Uttarakhand,Mountainous,Naga Regiment,-2,Extreme Cold
Type E,V-515,2015-06-13,9150,71.65,27,1,None,Assam,Plains,Sikh Light Infantry,22,Foggy
Type A,V-318,2020-01-01,6657,86.59,49,2,Engine,Sikkim,Mountainous,Kumaon Regiment,-3,Extreme Cold
Type C,V-934,2021-11-08,3122,88.71,14,3,None,Jammu & Kashmir,Mountainous,Jat Regiment,6,Foggy
Type C,V-409,2017-04-22,5612,79.73,26,5,None,Manipur,Jungle,Sikh Light Infantry,20,Heavy Rain
Type B,V-965,2022-01-03,9279,68.34,26,6,Radar,Arunachal Pradesh,Jungle,Sikh Light Infantry,23,Heavy Rain
Type A,V-499,2023-03-03,3887,85.59,35,8,None,Sikkim,Mountainous,Rajput Regiment,-6,Extreme Cold
Type E,V-541,2019-03-01,6802,87.16,49,3,Sensors,Himachal Pradesh,Hilly,Rajput Regiment,13,Foggy
Type D,V-469,2021-10-22,7226,78.0,29,5,Brakes,Uttarakhand,Mountainous,Sikh Light Infantry,6,Foggy
Type B,V-148,2020-04-21,4661,82.52,42,3,Sensors,Assam,Plains,Rajput Regiment,19,Clear Skies
Type B,V-781,2016-09-17,7989,64.49,24,4,Sensors,Sikkim,Mountainous,Bihar Regiment,-1,Snowfall
Type D,V-413,2018-06-14,317,96.84,19,8,None,Assam,Plains,Rajput Regiment,25,Foggy
Type D,V-135,2021-01-03,1673,76.05,15,5,Navigation System,Nagaland,Jungle,Sikh Light Infantry,27,Humid
Type C,V-308,2017-03-25,140,75.83,30,2,Navigation System,Assam,Plains,Rajput Regiment,23,Clear Skies
Type E,V-488,2020-09-12,5647,60.39,1,2,None,Arunachal Pradesh,Jungle,Kumaon Regiment,31,Foggy
Type B,V-344,2023-04-24,5799,97.68,33,0,Transmission,Arunachal Pradesh,Jungle,Sikh Light Infantry,33,Humid
Type A,V-601,2023-05-10,1704,71.86,36,6,Transmission,Punjab,Plains,Kumaon Regiment,13,Mild Cold
Type B,V-299,2020-05-27,3076,89.11,3,6,Wiring,Jammu & Kashmir,Mountainous,Naga Regiment,-8,Snowfall
Type B,V-417,2024-06-15,7229,98.67,14,9,None,Manipur,Jungle,Assam Rifles,31,Foggy
Type B,V-889,2024-02-07,4918,79.39,47,7,None,Jammu & Kashmir,Mountainous,Sikh Light Infantry,3,Snowfall
Type A,V-118,2023-06-11,6274,66.15,38,4,Sensors,Rajasthan,Desert,Gorkha Rifles,47,Dust Storms
Type E,V-102,2020-05-14,843,84.69,32,2,None,Assam,Plains,Kumaon Regiment,22,Mild Cold
Type E,V-129,2018-07-30,8865,73.87,3,4,Navigation System,Rajasthan,Desert,Dogra Regiment,34,Hot and Dry
Type E,V-124,2016-02-11,2624,99.24,29,6,None,Sikkim,Mountainous,Naga Regiment,-6,Foggy
Type A,V-494,2015-06-04,9176,83.58,13,1,None,Jammu & Kashmir,Mountainous,Naga Regiment,-3,Extreme Cold
Type E,V-211,2023-05-30,5309,91.38,2,9,None,Himachal Pradesh,Hilly,Gorkha Rifles,6,Foggy
Type C,V-485,2020-03-12,9391,62.04,46,5,None,Manipur,Jungle,Naga Regiment,34,Humid
Type E,V-946,2018-03-30,6752,85.39,10,9,Transmission,Uttarakhand,Mountainous,Kumaon Regiment,-10,Extreme Cold
Type B,V-525,2023-04-21,3176,62.12,3,1,None,Sikkim,Mountainous,Sikh Light Infantry,3,Snowfall
Type C,V-316,2018-11-26,4417,88.79,7,1,Armor Plating,Jammu & Kashmir,Mountainous,Sikh Light Infantry,0,Snowfall
Type D,V-461,2019-09-27,8590,60.23,17,3,None,Nagaland,Jungle,Bihar Regiment,28,Foggy
Type A,V-269,2017-11-13,6202,85.49,30,3,Brakes,Arunachal Pradesh,Jungle,Dogra Regiment,20,Foggy
Type E,V-834,2021-09-19,7766,75.58,20,2,None,Nagaland,Jungle,Gorkha Rifles,30,Heavy Rain
Type B,V-660,2023-08-08,5984,67.47,24,7,Armor Plating,Sikkim,Mountainous,Punjab Regiment,-3,Extreme Cold
Type B,V-861,2016-12-26,9865,60.54,20,2,Armor Plating,Rajasthan,Desert,Jat Regiment,33,Dust Storms
